NRuns,Lifetime
2,23.88
3,25.79
4,23.06
5,23.01
7,25.1
9,26.58
11,26.12
14,22.0
18,24.76
23,25.42
29,25.3
36,24.77
44,30.53
54,21.97
66,21.3
81,22.0
99,20.0
121,20.0
147,25.48
178,21.25
216,23.04
262,24.6
317,22.08
383,24.46
462,25.1
557,21.99
671,32.8
808,25.14
972,39.3
1169,29.83
1406,34.55
1690,36.78
2031,32.66
2441,96.7
2933,55.58
3523,42.09
4231,33.56
5081,44.66
6101,42.24
7325,43.95
8794,56.72
10557,34.05
12673,45.15
15212,81.14
18259,73.97
21916,42.76
26304,44.54
31570,65.79
37889,44.57
45472,69.24
54572,71.44
65492,96.2
78596,91.68
2,22.5
3,30.22
4,20.6
5,26.33
7,28.41
9,26.43
11,25.47
14,26.65
18,28.04
23,36.47
29,26.26
36,26.5
44,32.5
54,26.95
66,27.2
81,21.9
99,21.0
121,27.55
147,24.16
178,32.52
216,21.75
262,31.81
317,34.05
383,27.39
462,33.08
557,29.56
671,26.41
808,36.0
972,23.7
1169,32.13
1406,37.7
1690,32.75
2031,44.61
2441,32.6
2933,33.17
3523,36.38
4231,37.65
5081,29.3
6101,56.56
7325,48.0
8794,45.16
10557,36.24
12673,81.51
15212,69.59
18259,61.72
21916,64.0
26304,59.35
31570,57.16
37889,68.1
45472,65.62
54572,66.96
65492,73.55
78596,884.16
2,31.1
3,32.55
4,29.95
5,31.89
7,29.35
9,28.8
11,29.19
14,29.55
18,20.75
23,20.85
29,24.0
36,24.7
44,24.6
54,20.0
66,20.05
81,28.46
99,30.01
121,20.0
147,27.65
178,20.32
216,20.61
262,21.3
317,27.2
383,27.32
462,24.84
557,24.5
671,32.0
808,39.3
972,22.99
1169,32.96
1406,40.57
1690,33.57
2031,28.45
2441,28.32
2933,26.24
3523,38.67
4231,25.9
5081,42.2
6101,46.57
7325,74.89
8794,39.2
10557,63.85
12673,47.9
15212,49.15
18259,46.12
21916,66.51
26304,33.52
31570,85.48
37889,66.48
45472,87.43
54572,219.33
65492,89.99
78596,66.85
2,30.73
3,23.67
4,23.13
5,21.73
7,22.16
9,21.73
11,22.08
14,21.75
18,22.12
23,21.33
29,20.1
36,20.21
44,20.25
54,20.15
66,20.05
81,24.1
99,26.14
121,21.31
147,20.0
178,21.21
216,21.55
262,21.11
317,27.25
383,27.05
462,31.11
557,28.67
671,32.5
808,33.99
972,36.43
1169,52.47
1406,39.73
1690,54.71
2031,39.69
2441,35.7
2933,36.16
3523,26.46
4231,49.61
5081,38.35
6101,67.19
7325,42.9
8794,54.93
10557,73.72
12673,50.1
15212,64.21
18259,596.18
21916,106.72
26304,82.19
31570,91.25
37889,52.1
45472,125.9
54572,78.22
65492,53.5
78596,70.45
